City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain(inches),Snow(inches)
Atuona,PF,-9.8,-139.03,80.64,70,7,11.25,clear sky,0,0
Tasiilaq,GL,65.61,-37.64,37.4,86,90,14.99,light intensity shower rain,0,0
Zhigansk,RU,66.77,123.37,36.97,73,100,20.54,overcast clouds,0,0
Ushuaia,AR,-54.8,-68.3,37.4,79,40,5.26,scattered clouds,0,0
Punta Arenas,CL,-53.15,-70.92,37,74,100,8.05,overcast clouds,0,0
Aras,ES,42.56,-2.36,84.2,21,0,10.29,clear sky,0,0
Yellowknife,CA,62.46,-114.35,37.4,55,20,8.05,few clouds,0,0
Saint George,US,37.1,-113.58,84,23,1,4.7,clear sky,0,0
Vaini,TO,-21.2,-175.2,69.8,94,20,3.36,few clouds,0,0
Chuy,UY,-33.7,-53.46,63.82,62,0,5.77,clear sky,0,0
Souillac,MU,-20.52,57.52,77,78,40,12.75,shower rain,0,0
East London,ZA,-33.02,27.91,77,25,8,17.22,clear sky,0,0
Tuktoyaktuk,CA,69.45,-133.04,35.6,74,20,9.17,few clouds,0,0
Jawhar,SO,2.78,45.5,81.55,73,100,12.37,overcast clouds,0,0
Rikitea,PF,-23.12,-134.97,76.37,85,76,10.71,light rain,0,0
Coihaique,CL,-45.58,-72.07,37.4,93,75,2.24,broken clouds,0,0
Helong,CN,42.54,129,49.06,82,0,4.18,clear sky,0,0
Busselton,AU,-33.65,115.33,62.01,74,33,18.5,light rain,0,0
Bonavista,CA,48.65,-53.11,44.08,87,96,13.71,light rain,0,0
San Policarpo,PH,12.18,125.51,82.99,79,0,7.78,clear sky,0,0
Upernavik,GL,72.79,-56.15,29.12,96,77,2.51,broken clouds,0,0
Kavieng,PG,-2.57,150.8,81.59,78,83,4.03,moderate rain,0,0
Katsuura,JP,35.13,140.3,66.2,72,75,10.29,broken clouds,0,0
Mataura,NZ,-46.19,168.86,42.15,95,63,2.66,broken clouds,0,0
Rreshen,AL,41.77,19.88,69.8,49,75,8.05,broken clouds,0,0
Qaanaaq,GL,77.48,-69.36,31.21,92,97,4.74,overcast clouds,0,0
Vila Velha,BR,-20.33,-40.29,78.8,44,2,8.05,clear sky,0,0
Thompson,CA,55.74,-97.86,33.8,92,90,12.75,light rain,0,0
Butaritari,KI,3.07,172.79,82.22,80,0,10.92,clear sky,0,0
Nicoya,CR,10.15,-85.45,80.6,88,75,3.36,broken clouds,0,0
Cape Town,ZA,-33.93,18.42,60.01,100,90,14.99,moderate rain,0,0
Port-Gentil,GA,-0.72,8.78,86,74,40,17.22,scattered clouds,0,0
Dombarovskiy,RU,50.76,59.54,81.27,40,73,14.47,light rain,0,0
Hithadhoo,MV,-0.6,73.08,84.16,72,36,8.43,light rain,0,0
Coahuayana,MX,18.73,-103.68,73.4,35,20,2.44,few clouds,0,0
Beidao,CN,34.57,105.89,61.36,59,100,6.04,overcast clouds,0,0
Richards Bay,ZA,-28.78,32.04,66.87,29,0,5.99,clear sky,0,0
San-Pedro,CI,4.75,-6.64,83.16,76,100,8.99,light rain,0,0
Bluff,NZ,-46.6,168.33,47.77,90,41,10.96,light rain,0,0
Hun,LY,29.13,15.95,85.28,23,0,10.58,clear sky,0,0
Livingstonia,MW,-10.61,34.11,68.43,81,25,6.44,light rain,0,0
Buchanan,LR,5.88,-10.05,89.6,70,75,6.93,broken clouds,0,0
Lebu,CL,-37.62,-73.65,54.09,62,33,16.67,scattered clouds,0,0
Luderitz,"""NA""",-26.65,15.16,73.4,38,3,14.99,clear sky,0,0
Sitka,US,57.05,-135.33,55.4,54,75,5.82,broken clouds,0,0
Tautira,PF,-17.73,-149.15,77,83,0,2.24,clear sky,0,0
Kapaa,US,22.08,-159.32,75.2,83,75,11.41,broken clouds,0,0
Sao Raimundo Das Mangabeiras,BR,-7.02,-45.48,87.89,56,78,4.5,broken clouds,0,0
