City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
Atuona,PF,80.64,clear sky,-9.8,-139.03,Villa Enata
Aras,ES,84.2,clear sky,42.56,-2.36,Jardines de Viana Spa
Saint George,US,84.0,clear sky,37.1,-113.58,Best Western Plus Abbey Inn
Vaini,TO,69.8,few clouds,-21.2,-175.2,Keleti Beach Resort
Chuy,UY,63.82,clear sky,-33.7,-53.46,Nuevo Hotel Plaza
Souillac,MU,77.0,shower rain,-20.52,57.52,Bils' Villa
East London,ZA,77.0,clear sky,-33.02,27.91,Tu Casa
Jawhar,SO,81.55,overcast clouds,2.78,45.5,hantiwadaag village part one
Rikitea,PF,76.37,light rain,-23.12,-134.97,Pension Maro'i
Busselton,AU,62.01,light rain,-33.65,115.33,Observatory Guest House
San Policarpo,PH,82.99,clear sky,12.18,125.51,Zal-Ann Beach Resort
Kavieng,PG,81.59,moderate rain,-2.57,150.8,Nusa Island Retreat
Katsuura,JP,66.2,broken clouds,35.13,140.3,Katsuura Hotel Mikazuki
Rreshen,AL,69.8,broken clouds,41.77,19.88,KTHELLA Resort
Vila Velha,BR,78.8,clear sky,-20.33,-40.29,Hotel Vitória Palace
Butaritari,KI,82.22,clear sky,3.07,172.79,Isles Sunset Lodge
Nicoya,CR,80.6,broken clouds,10.15,-85.45,Guayacan Real
Cape Town,ZA,60.01,moderate rain,-33.93,18.42,Southern Sun Waterfront Cape Town
Port-Gentil,GA,86.0,scattered clouds,-0.72,8.78,Fengshui Residence
Dombarovskiy,RU,81.27,light rain,50.76,59.54,
Hithadhoo,MV,84.16,light rain,-0.6,73.08,Scoop Guest House
Coahuayana,MX,73.4,few clouds,18.73,-103.68,Hotel Los Arcos
Beidao,CN,61.36,overcast clouds,34.57,105.89,Shell Tianshui Maiji District Erma Road Walking Street Hotel
Richards Bay,ZA,66.87,clear sky,-28.78,32.04,BON Hotel Waterfront Richards Bay
San-Pedro,CI,83.16,light rain,4.75,-6.64,Hotel Maria
Hun,LY,85.28,clear sky,29.13,15.95,Alrwasi Hotel
Livingstonia,MW,68.43,light rain,-10.61,34.11,Stone House Guest House
Buchanan,LR,89.6,broken clouds,5.88,-10.05,Kamaneahn Hotel Inc
Lebu,CL,54.09,scattered clouds,-37.62,-73.65,Hostal Las Lilas
Luderitz,"""NA""",73.4,clear sky,-26.65,15.16,LÜDERITZ NEST HOTEL
Sitka,US,55.4,broken clouds,57.05,-135.33,Westmark Sitka
Tautira,PF,77.0,clear sky,-17.73,-149.15,Pension Oaoa
Kapaa,US,75.2,broken clouds,22.08,-159.32,Sheraton Kauai Resort at Coconut Beach
Sao Raimundo Das Mangabeiras,BR,87.89,broken clouds,-7.02,-45.48,Hotel Tropical
Northam,GB,69.01,broken clouds,51.03,-4.22,Durrant House Hotel
Hambantota,LK,82.04,light rain,6.12,81.12,Bungalow 63
Nikolskoye,RU,59.0,broken clouds,59.7,30.79,Tourist House - Sablino
Siocon,PH,80.85,broken clouds,7.71,122.14,MSWDO
Albany,US,77.0,broken clouds,42.6,-73.97,
Lazurne,UA,59.0,few clouds,46.08,32.53,New Manna Hostel
Mar Del Plata,AR,60.01,overcast clouds,-38.0,-57.56,Gran Hotel Mar del Plata habitaciones
Ocos,GT,82.4,scattered clouds,14.51,-92.19,La Bajadita
Khryashchevka,RU,69.8,clear sky,53.81,49.09,
Ergani,TR,86.0,scattered clouds,38.27,39.76,Serkan Hotel
Barabinsk,RU,58.87,scattered clouds,55.36,78.36,"Gostinitsa ""Noy"""
Puerto Ayora,EC,75.99,broken clouds,-0.74,-90.35,Finch Bay Galapagos Hotel
Azua,DO,87.8,broken clouds,18.45,-70.73,Cabañas Sexy Home
Komsomolskiy,UZ,86.0,light thunderstorm,40.43,71.72,"Hotel ""Ikathouse"""
Yining,CN,71.4,broken clouds,29.04,114.56,Xiushui Hotel
Faanui,PF,81.34,light rain,-16.48,-151.75,Bora-Bora Pearl Beach Resort & Spa
Bredasdorp,ZA,69.8,overcast clouds,-34.53,20.04,Bredasdorp Country Manor
Hilo,US,73.4,broken clouds,19.73,-155.09,Hilo Hawaiian Hotel
Enterprise,US,88.0,clear sky,36.03,-115.24,Highland Inn Las Vegas
Letterkenny,IE,77.0,overcast clouds,54.95,-7.73,Mount Errigal Hotel
Howick,ZA,64.99,clear sky,-29.48,30.23,Skyblu
Megion,RU,59.0,overcast clouds,61.03,76.11,Komfort Hotel
Isla Mujeres,MX,86.0,broken clouds,21.23,-86.73,Hotel La Joya Isla Mujeres
Zverinogolovskoye,RU,70.39,light rain,54.46,64.85,
Hobart,AU,55.99,overcast clouds,-42.88,147.33,St Ives Apartments
Xacmaz,AZ,70.0,broken clouds,41.46,48.81,SAHİL HOTEL
Joensuu,FI,62.6,clear sky,62.6,29.76,Greenstar Hotels Oy
Terrace Bay,CA,53.6,mist,48.78,-87.1,Drifters Motel & Restaurant
Cabo San Lucas,MX,79.0,clear sky,22.89,-109.91,Hotel Tesoro Los Cabos
Port Alfred,ZA,68.0,overcast clouds,-33.59,26.89,The Halyards Hotel
Jamestown,US,68.0,heavy intensity rain,42.1,-79.24,Hampton Inn & Suites Jamestown
Santa Maria,BR,70.14,clear sky,-29.68,-53.81,Hotel Morotin
Airai,TL,59.5,scattered clouds,-8.93,125.41,Juvinal Martin
Hurghada,EG,89.6,broken clouds,27.26,33.81,Sea Star Beau Rivage Hotel
Saint-Philippe,RE,75.2,scattered clouds,-21.36,55.77,"Chambres d'hôte ""La Trinité"""
Pacific Grove,US,55.4,overcast clouds,36.62,-121.92,Lovers Point Inn
