City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Christchurch,NZ,2020-05-26 22:53:51,-43.53,172.63,46.99,93,0,1.12
1,Ushuaia,AR,2020-05-26 22:55:29,-54.8,-68.3,48.2,61,75,4.59
2,Uray,RU,2020-05-26 22:57:57,60.12,64.78,46.56,71,59,0.69
3,Ponta Do Sol,PT,2020-05-26 22:55:42,32.67,-17.1,66.99,76,100,1.95
4,Ahuimanu,US,2020-05-26 22:57:58,21.44,-157.84,84.2,62,98,9.17
5,Rikitea,PF,2020-05-26 22:55:30,-23.12,-134.97,74.95,82,94,17.81
6,Vostok,RU,2020-05-26 22:56:47,46.49,135.88,51.85,79,16,2.39
7,Matadi,CD,2020-05-26 22:57:58,-5.82,13.45,75.24,84,83,3.29
8,Pevek,RU,2020-05-26 22:55:49,69.7,170.31,34.12,88,10,7.38
9,Ribeira Grande,PT,2020-05-26 22:55:47,38.52,-28.7,65.26,87,19,3.29
10,Pafos,CY,2020-05-26 22:54:14,34.77,32.42,57.99,87,3,1.01
11,Kupang,ID,2020-05-26 22:56:48,-10.17,123.58,77.0,94,20,2.24
12,Codrington,AU,2020-05-26 22:56:21,-38.27,141.97,52.2,65,87,13.58
13,Bambous Virieux,MU,2020-05-26 22:55:32,-20.34,57.76,73.4,78,20,6.93
14,Airai,TL,2020-05-26 22:55:55,-8.93,125.41,63.91,100,15,0.76
15,Atuona,PF,2020-05-26 22:55:43,-9.8,-139.03,81.37,73,17,13.47
16,Mar Del Plata,AR,2020-05-26 22:56:01,-38.0,-57.56,52.0,93,6,2.24
17,Melo,UY,2020-05-26 22:55:45,-32.37,-54.18,49.75,82,90,6.46
18,Punta Arenas,CL,2020-05-26 22:55:28,-53.15,-70.92,42.8,87,40,9.17
19,Mount Gambier,AU,2020-05-26 22:55:54,-37.83,140.77,51.8,71,90,11.41
20,Upernavik,GL,2020-05-26 22:55:46,72.79,-56.15,29.73,95,61,5.79
21,Tsuyama,JP,2020-05-26 22:58:00,35.05,134.0,68.0,93,75,4.7
22,Vila,PT,2020-05-26 22:55:44,42.03,-8.16,71.6,64,0,1.12
23,Mount Isa,AU,2020-05-26 22:58:01,-20.73,139.5,59.0,47,3,6.31
24,Narsaq,GL,2020-05-26 22:56:23,60.92,-46.05,42.8,70,100,1.12
25,Ust-Nera,RU,2020-05-26 22:56:52,64.57,143.2,50.0,56,95,3.76
26,Cabo San Lucas,MX,2020-05-26 22:56:16,22.89,-109.91,84.2,34,5,6.93
27,Almaznyy,RU,2020-05-26 22:55:35,48.04,40.05,50.0,93,20,2.86
28,Saint-Augustin,CA,2020-05-26 22:58:02,51.23,-58.65,54.9,84,82,2.71
29,Okha,RU,2020-05-26 22:55:32,53.57,142.95,40.15,78,94,11.95
30,Broome,US,2020-05-26 22:56:21,42.25,-75.83,87.01,42,1,5.53
31,Vaini,TO,2020-05-26 22:55:35,-21.2,-175.2,78.8,69,75,5.82
32,Kaitangata,NZ,2020-05-26 22:56:19,-46.28,169.85,48.49,78,20,4.9
33,Kilimatinde,TZ,2020-05-26 22:58:03,-5.85,34.95,64.13,82,20,2.62
34,Sao Joao Da Barra,BR,2020-05-26 22:55:45,-21.64,-41.05,66.67,72,18,11.25
35,Carnarvon,AU,2020-05-26 22:55:42,-24.87,113.63,60.94,59,0,15.48
36,Cape Town,ZA,2020-05-26 22:52:41,-33.93,18.42,51.01,87,75,5.82
37,Butaritari,KI,2020-05-26 22:55:52,3.07,172.79,82.72,69,20,2.77
38,Mahebourg,MU,2020-05-26 22:55:45,-20.41,57.7,73.4,78,20,6.93
39,Caravelas,BR,2020-05-26 22:58:04,-17.71,-39.25,74.52,92,78,2.91
40,Springbok,ZA,2020-05-26 22:58:04,-29.66,17.89,36.41,89,0,1.34
41,Broken Hill,AU,2020-05-26 22:56:29,-31.95,141.43,48.2,66,40,5.82
42,Bredasdorp,ZA,2020-05-26 22:55:49,-34.53,20.04,46.4,81,89,6.93
43,Mataura,NZ,2020-05-26 22:55:29,-46.19,168.86,48.2,77,35,1.52
44,Talnakh,RU,2020-05-26 22:56:09,69.49,88.4,30.2,92,75,20.13
45,Saint-Philippe,RE,2020-05-26 22:55:42,-21.36,55.77,71.6,68,39,9.17
46,Hambantota,LK,2020-05-26 22:55:39,6.12,81.12,81.37,83,100,14.88
47,Kapit,MY,2020-05-26 22:58:05,2.02,112.93,75.6,94,59,1.21
48,Sur,OM,2020-05-26 22:56:19,22.57,59.53,88.43,48,0,12.24
49,Busselton,AU,2020-05-26 22:55:31,-33.65,115.33,59.0,54,95,16.26
50,San Vicente,AR,2020-05-26 22:58:05,-26.62,-54.13,47.19,95,0,2.37
51,Namatanai,PG,2020-05-26 22:56:55,-3.67,152.43,84.24,73,49,6.13
52,Vicuna,CL,2020-05-26 22:58:05,-30.03,-70.71,52.0,67,0,0.34
53,Arraial Do Cabo,BR,2020-05-26 22:55:40,-22.97,-42.03,69.8,64,0,10.29
54,Sambava,MG,2020-05-26 22:58:06,-14.27,50.17,69.57,84,2,8.28
55,Araguacu,BR,2020-05-26 22:58:06,-12.93,-49.83,72.01,80,27,4.76
56,Saldanha,ZA,2020-05-26 22:56:03,-33.01,17.94,50.0,81,73,1.12
57,Chuy,UY,2020-05-26 22:56:05,-33.7,-53.46,51.93,77,81,9.62
58,Severo-Kurilsk,RU,2020-05-26 22:55:43,50.68,156.12,39.61,88,76,9.6
59,Tigre,AR,2020-05-26 22:58:06,-34.43,-58.58,55.99,81,0,3.36
60,Necochea,AR,2020-05-26 22:55:52,-38.55,-58.74,45.0,93,0,3.0
61,Bluff,NZ,2020-05-26 22:55:29,-46.6,168.33,47.88,87,52,6.4
62,Asau,RO,2020-05-26 22:56:20,46.43,26.4,48.0,87,79,4.03
63,Thompson,CA,2020-05-26 22:56:01,55.74,-97.86,77.0,25,75,8.05
64,Esperance,AU,2020-05-26 22:56:36,-33.87,121.9,44.6,93,0,10.29
65,Chicama,PE,2020-05-26 22:58:07,-7.84,-79.15,71.62,73,32,6.55
66,Fortuna,US,2020-05-26 22:55:51,40.6,-124.16,62.01,87,20,19.46
67,Barrow,US,2020-05-26 22:56:08,71.29,-156.79,32.0,90,90,8.05
68,Lake Havasu City,US,2020-05-26 22:57:47,34.48,-114.32,104.0,6,1,8.05
69,Port Elizabeth,ZA,2020-05-26 22:55:32,-33.92,25.57,46.4,81,75,13.87
70,Mitla,MX,2020-05-26 22:58:08,16.92,-96.4,91.4,7,40,8.05
71,Yarega,RU,2020-05-26 22:58:08,63.44,53.58,42.03,76,32,1.45
72,Kavaratti,IN,2020-05-26 22:56:26,10.57,72.64,84.34,77,33,12.46
73,Xuddur,SO,2020-05-26 22:58:08,4.12,43.89,74.12,83,2,10.18
