City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Puerto Ayora,EC,2020-05-23 05:16:31,-0.74,-90.35,73.99,92,47,1.01
1,Kavieng,PG,2020-05-23 05:18:20,-2.57,150.8,84.2,76,28,5.46
2,Port Alfred,ZA,2020-05-23 05:16:26,-33.59,26.89,61.0,92,97,3.0
3,Port-Gentil,GA,2020-05-23 05:18:20,-0.72,8.78,80.53,85,0,12.24
4,Mataura,NZ,2020-05-23 05:16:23,-46.19,168.86,47.98,90,93,1.28
5,Pekalongan,ID,2020-05-23 05:18:21,-6.89,109.68,87.01,66,12,7.02
6,Lebu,CL,2020-05-23 05:16:38,-37.62,-73.65,50.56,65,91,6.85
7,Kodiak,US,2020-05-23 05:16:27,57.79,-152.41,48.2,70,90,5.82
8,Rikitea,PF,2020-05-23 05:16:31,-23.12,-134.97,70.38,70,98,20.51
9,Hermanus,ZA,2020-05-23 05:16:27,-34.42,19.23,57.99,72,0,8.88
10,Usogorsk,RU,2020-05-23 05:18:22,63.41,48.69,36.09,90,100,8.39
11,Bilma,NE,2020-05-23 05:16:54,18.69,12.92,86.76,38,94,6.22
12,Vardo,NO,2020-05-23 05:16:44,70.37,31.11,41.14,86,64,13.6
13,Albany,US,2020-05-23 05:16:36,42.6,-73.97,68.0,75,100,1.57
14,Sur,OM,2020-05-23 05:17:43,22.57,59.53,93.34,38,1,6.71
15,Valparaiso,CL,2020-05-23 05:18:23,-33.04,-71.63,51.8,71,27,3.36
16,Faanui,PF,2020-05-23 05:16:57,-16.48,-151.75,79.92,76,2,24.72
17,Norman Wells,CA,2020-05-23 05:16:41,65.28,-126.83,57.2,44,20,3.36
18,Chapais,CA,2020-05-23 05:18:23,49.78,-74.85,35.6,59,1,12.75
19,Hilo,US,2020-05-23 05:16:34,19.73,-155.09,78.8,65,90,3.36
20,Lorengau,PG,2020-05-23 05:16:47,-2.02,147.27,84.94,72,91,1.48
21,Wanaka,NZ,2020-05-23 05:18:23,-44.7,169.15,50.0,80,100,2.04
22,Avarua,CK,2020-05-23 05:16:57,-21.21,-159.78,78.8,78,100,16.11
23,Luganville,VU,2020-05-23 05:18:24,-15.53,167.17,80.6,69,75,5.82
24,Bambous Virieux,MU,2020-05-23 05:16:52,-20.34,57.76,77.0,61,20,14.99
25,Biak,ID,2020-05-23 05:18:24,-0.91,122.88,84.76,69,85,1.9
26,Touros,BR,2020-05-23 05:17:43,-5.2,-35.46,73.4,100,75,2.24
27,Mar Del Plata,AR,2020-05-23 05:16:35,-38.0,-57.56,55.0,87,0,3.36
28,Tazovskiy,RU,2020-05-23 05:18:24,67.47,78.7,61.41,37,89,12.55
29,Cape Town,ZA,2020-05-23 05:16:50,-33.93,18.42,55.99,87,20,10.29
30,Mahebourg,MU,2020-05-23 05:16:22,-20.41,57.7,77.0,61,20,14.99
31,Castro,BR,2020-05-23 05:16:30,-24.79,-50.01,62.37,96,100,6.64
32,Qaanaaq,GL,2020-05-23 05:16:24,77.48,-69.36,23.22,89,0,1.5
33,Barrow,US,2020-05-23 05:16:21,71.29,-156.79,33.8,80,1,17.22
34,Thompson,CA,2020-05-23 05:16:26,55.74,-97.86,37.4,93,75,8.05
35,Gat,IL,2020-05-23 05:16:33,31.61,34.76,72.0,77,50,8.86
36,New Norfolk,AU,2020-05-23 05:16:43,-42.78,147.06,55.0,80,60,1.01
37,Butaritari,KI,2020-05-23 05:16:29,3.07,172.79,83.53,79,100,15.52
38,Bredasdorp,ZA,2020-05-23 05:16:41,-34.53,20.04,55.4,66,0,8.05
39,Yellowknife,CA,2020-05-23 05:16:51,62.46,-114.35,41.0,74,75,10.29
40,Bluff,NZ,2020-05-23 05:16:30,-46.6,168.33,51.21,82,69,4.0
41,Pevek,RU,2020-05-23 05:16:38,69.7,170.31,30.43,96,91,4.92
42,Matara,LK,2020-05-23 05:18:26,5.95,80.54,86.97,71,65,12.24
43,Bathsheba,BB,2020-05-23 05:17:09,13.22,-59.52,80.6,78,20,13.87
44,Airai,TL,2020-05-23 05:16:38,-8.93,125.41,64.47,100,100,2.95
45,Gonaives,HT,2020-05-23 05:18:27,19.45,-72.68,80.24,73,100,3.36
46,Sitka,US,2020-05-23 05:16:48,57.05,-135.33,50.0,71,90,2.66
47,Darhan,MN,2020-05-23 05:18:27,49.49,105.92,65.43,33,40,9.82
48,Vila Franca Do Campo,PT,2020-05-23 05:16:27,37.72,-25.43,62.6,88,75,4.7
49,Thinadhoo,MV,2020-05-23 05:18:27,0.53,72.93,84.88,77,100,16.89
50,Sao Joao Da Barra,BR,2020-05-23 05:17:32,-21.64,-41.05,70.86,88,26,11.12
51,Punta Arenas,CL,2020-05-23 05:15:21,-53.15,-70.92,48.2,81,75,12.75
52,Katihar,IN,2020-05-23 05:18:28,25.53,87.58,91.45,55,16,8.39
53,Bellefontaine,US,2020-05-23 05:18:28,40.36,-83.76,60.01,96,1,5.82
54,Hithadhoo,MV,2020-05-23 05:16:22,-0.6,73.08,84.22,78,100,16.91
55,Houma,US,2020-05-23 05:18:28,29.6,-90.72,80.01,88,1,12.75
56,Yar-Sale,RU,2020-05-23 05:17:42,66.83,70.83,60.62,56,59,17.56
57,Samarai,PG,2020-05-23 05:17:37,-10.62,150.67,81.63,84,99,10.92
58,Iquique,CL,2020-05-23 05:18:28,-20.22,-70.14,62.6,72,90,1.12
59,Mwinilunga,ZM,2020-05-23 05:18:28,-11.74,24.43,52.02,85,0,5.53
60,San Patricio,MX,2020-05-23 05:16:53,19.22,-104.7,74.53,84,5,7.72
61,Roma,US,2020-05-23 05:16:33,43.21,-75.46,64.4,72,1,1.48
62,Jamestown,US,2020-05-23 05:14:03,42.1,-79.24,59.0,100,90,4.7
63,Gallup,US,2020-05-23 05:18:29,35.53,-108.74,59.0,13,1,9.17
64,Abalak,RU,2020-05-23 05:18:29,58.13,68.59,64.35,47,91,12.17
65,Opunake,NZ,2020-05-23 05:18:29,-39.46,173.86,55.0,87,100,12.28
66,Ushuaia,AR,2020-05-23 05:16:22,-54.8,-68.3,48.2,66,40,4.7
67,Cabo San Lucas,MX,2020-05-23 05:17:05,22.89,-109.91,77.0,61,4,13.73
68,Hirekerur,IN,2020-05-23 05:18:30,14.47,75.38,87.4,50,27,8.75
69,Bridgetown,BB,2020-05-23 05:16:02,13.1,-59.62,80.6,78,20,13.87
70,Wundanyi,KE,2020-05-23 05:18:30,-3.4,38.36,61.74,90,4,6.2
71,Chokurdakh,RU,2020-05-23 05:16:44,70.63,147.92,28.22,97,85,4.18
72,Alofi,NU,2020-05-23 05:17:28,-19.06,-169.92,80.6,94,100,3.36
73,Laguna,US,2020-05-23 05:17:29,38.42,-121.42,68.0,33,1,4.7
74,Atuona,PF,2020-05-23 05:16:29,-9.8,-139.03,81.0,76,92,17.07
75,Mundo Nuevo,MX,2020-05-23 05:18:31,18.7,-95.5,84.33,74,57,12.71
76,Urucara,BR,2020-05-23 05:18:31,-2.54,-57.76,74.89,97,73,2.19
77,Asfi,MA,2020-05-23 05:16:54,32.3,-9.24,67.62,79,15,13.02
78,Arraial Do Cabo,BR,2020-05-23 05:16:33,-22.97,-42.03,73.27,83,65,17.76
79,Okhotsk,RU,2020-05-23 05:18:31,59.38,143.3,46.49,61,53,7.74
80,Carnarvon,AU,2020-05-23 05:16:51,-24.87,113.63,80.76,24,0,17.29
81,Busselton,AU,2020-05-23 05:16:26,-33.65,115.33,73.0,24,19,17.63
82,Port Elizabeth,ZA,2020-05-23 05:16:32,-33.92,25.57,59.0,87,20,5.82
83,Batsfjord,NO,2020-05-23 05:18:32,70.63,29.72,39.61,88,79,13.11
84,Hovd,MN,2020-05-23 05:16:52,48.01,91.64,59.23,34,100,6.51
85,Beyneu,KZ,2020-05-23 05:18:32,45.32,55.2,88.3,15,2,28.34
86,Chillan,CL,2020-05-23 05:18:33,-36.61,-72.1,39.2,100,73,4.7
87,Maloy,NO,2020-05-23 05:18:33,61.94,5.11,52.0,76,100,24.16
88,Seoul,KR,2020-05-23 05:14:21,37.57,126.98,77.0,50,75,5.82
89,Beringovskiy,RU,2020-05-23 05:18:33,63.05,179.32,32.85,97,100,12.48
90,Solnechnyy,RU,2020-05-23 05:16:28,50.72,136.63,57.87,47,41,2.26
91,Souillac,MU,2020-05-23 05:16:50,-20.52,57.52,77.0,61,20,14.99
92,Kapaa,US,2020-05-23 05:16:53,22.08,-159.32,77.0,73,40,13.87
93,Hami,CN,2020-05-23 05:18:34,42.8,93.45,77.94,21,0,8.63
94,Huarmey,PE,2020-05-23 05:17:05,-10.07,-78.15,64.53,84,97,6.71
95,Yenagoa,NG,2020-05-23 05:18:34,4.92,6.26,76.06,95,74,1.45
96,Dunedin,NZ,2020-05-23 05:17:58,-45.87,170.5,53.01,87,100,3.0
97,Ust-Tsilma,RU,2020-05-23 05:18:35,65.44,52.15,36.12,90,100,9.73
98,Strezhevoy,RU,2020-05-23 05:18:35,60.73,77.59,62.6,63,55,6.71
99,Leningradskiy,RU,2020-05-23 05:17:16,69.38,178.42,30.7,96,100,3.58
100,Dudingen,CH,2020-05-23 05:18:35,46.85,7.19,61.0,84,100,1.99
101,Clyde River,CA,2020-05-23 05:16:46,70.47,-68.59,23.0,92,90,4.7
102,Te Anau,NZ,2020-05-23 05:17:36,-45.42,167.72,49.55,77,100,0.56
103,East London,ZA,2020-05-23 05:13:21,-33.02,27.91,60.8,93,90,11.41
104,Gazanjyk,TM,2020-05-23 05:18:35,39.24,55.52,90.97,12,0,14.03
105,Labuhan,ID,2020-05-23 05:18:36,-6.88,112.21,86.16,71,25,3.11
106,Ixtapa,MX,2020-05-23 05:18:36,20.7,-105.2,78.8,78,90,3.06
107,Fasa,IR,2020-05-23 05:18:36,28.94,53.65,84.2,14,0,4.7
108,Lagoa,PT,2020-05-23 05:17:31,39.05,-27.98,60.51,89,100,16.31
109,Salinopolis,BR,2020-05-23 05:18:36,-0.61,-47.36,79.23,87,75,8.79
110,Upernavik,GL,2020-05-23 05:16:44,72.79,-56.15,27.84,97,12,9.46
111,Nikolskoye,RU,2020-05-23 05:16:22,59.7,30.79,48.2,58,0,6.71
112,Palencia,ES,2020-05-23 05:18:37,42.42,-4.5,57.99,90,70,4.0
113,Peddapalli,IN,2020-05-23 05:18:37,18.62,79.37,106.9,9,54,3.06
114,Mafinga,TZ,2020-05-23 05:18:37,-7.25,35.07,64.0,68,0,2.89
115,Port Blair,IN,2020-05-23 05:16:37,11.67,92.75,87.89,65,94,3.94
116,Ribeira Grande,PT,2020-05-23 05:16:39,38.52,-28.7,62.33,86,100,11.43
117,La Ronge,CA,2020-05-23 05:16:32,55.1,-105.28,44.6,93,75,3.36
118,Homer,US,2020-05-23 05:18:38,59.64,-151.55,53.6,54,75,4.7
119,Vysokogornyy,RU,2020-05-23 05:18:38,50.12,139.15,56.89,56,98,8.48
120,Conceicao Da Barra,BR,2020-05-23 05:18:38,-18.59,-39.73,71.49,94,0,0.83
121,Chuy,UY,2020-05-23 05:16:24,-33.7,-53.46,61.2,84,100,23.62
122,Verkhnyaya Inta,RU,2020-05-23 05:18:39,65.98,60.31,49.1,81,95,13.27
123,Coro,VE,2020-05-23 05:18:39,11.4,-69.67,79.12,80,68,12.77
124,Muroto,JP,2020-05-23 05:18:39,33.28,134.15,73.4,64,75,9.17
125,Viedma,AR,2020-05-23 05:17:04,-40.81,-63.0,45.43,57,0,12.26
126,Palmer,US,2020-05-23 05:17:40,42.16,-72.33,66.2,77,90,6.93
127,Ramkola,IN,2020-05-23 05:18:39,26.9,83.84,98.1,35,0,10.33
128,Darovskoy,RU,2020-05-23 05:18:40,58.77,47.96,44.89,92,99,3.96
129,Hambantota,LK,2020-05-23 05:18:40,6.12,81.12,87.57,68,69,17.11
130,La Orilla,MX,2020-05-23 05:18:40,17.98,-102.23,76.96,85,25,3.09
131,Banyo,CM,2020-05-23 05:18:40,6.75,11.82,64.92,91,87,1.23
132,Anadyr,RU,2020-05-23 05:18:40,64.75,177.48,37.4,88,90,4.47
133,Saint George,US,2020-05-23 05:16:26,37.1,-113.58,75.2,12,1,11.41
134,Jinxiang,CN,2020-05-23 05:18:41,22.86,115.7,75.9,87,98,6.13
135,Esperance,AU,2020-05-23 05:16:56,-33.87,121.9,68.0,40,63,12.75
136,Khatanga,RU,2020-05-23 05:16:30,71.97,102.5,71.19,44,11,8.97
137,Ritchie,ZA,2020-05-23 05:18:41,-29.04,24.6,39.2,80,0,2.24
138,Bethel,US,2020-05-23 05:16:42,41.37,-73.41,64.4,93,90,3.36
139,Camp Verde,US,2020-05-23 05:18:41,34.56,-111.85,66.2,19,1,8.05
140,Tshela,CD,2020-05-23 05:18:41,-4.98,12.93,74.84,94,90,0.92
141,Ust-Uda,RU,2020-05-23 05:18:42,54.17,103.03,73.87,22,0,4.56
142,Tasiilaq,GL,2020-05-23 05:16:33,65.61,-37.64,35.6,93,100,2.24
143,Sturgeon Bay,US,2020-05-23 05:14:54,44.83,-87.38,60.8,93,40,4.7
144,Georgetown,MY,2020-05-23 05:13:35,5.41,100.34,84.2,83,20,6.93
145,Naze,JP,2020-05-23 05:16:33,28.37,129.48,77.0,78,75,18.34
146,Dingle,PH,2020-05-23 05:16:30,11.0,122.67,90.28,63,87,10.11
147,Moyale,KE,2020-05-23 05:18:42,3.52,39.06,65.35,96,69,9.24
148,Pisco,PE,2020-05-23 05:11:43,-13.7,-76.22,60.01,87,23,3.36
149,Hobart,AU,2020-05-23 05:16:48,-42.88,147.33,55.4,66,75,4.7
150,Klaksvik,FO,2020-05-23 05:17:22,62.23,-6.59,48.2,100,100,1.12
151,Kuito,AO,2020-05-23 05:14:44,-12.38,16.93,49.69,70,0,4.18
152,Kyra,RU,2020-05-23 05:18:43,49.58,111.98,64.18,29,69,9.53
153,Glendive,US,2020-05-23 05:18:43,47.11,-104.71,61.0,48,75,10.29
154,La Sarre,CA,2020-05-23 05:15:38,48.8,-79.2,48.76,49,0,7.94
155,Parabel,RU,2020-05-23 05:18:43,58.7,81.48,70.36,33,36,6.96
156,Vaini,TO,2020-05-23 05:16:29,-21.2,-175.2,77.0,73,75,8.05
157,Blagodatnoye,RU,2020-05-23 05:18:44,45.4,42.59,44.6,100,90,17.9
158,Namatanai,PG,2020-05-23 05:17:30,-3.67,152.43,85.95,70,34,6.71
159,Nanortalik,GL,2020-05-23 05:17:08,60.14,-45.24,39.74,77,82,3.27
160,Tiksi,RU,2020-05-23 05:17:24,71.69,128.87,39.38,89,100,12.01
161,Komsomolskiy,UZ,2020-05-23 05:18:44,40.43,71.72,80.6,26,0,4.7
162,Oranjestad,AW,2020-05-23 05:17:00,12.52,-70.03,82.4,83,20,16.11
163,Juneau,US,2020-05-23 05:18:44,58.3,-134.42,53.6,66,75,10.29
164,Cherskiy,RU,2020-05-23 05:16:46,68.75,161.3,33.57,83,83,13.51
165,Hamilton,US,2020-05-23 05:17:03,39.18,-84.53,64.99,77,40,6.93
166,Jalu,LY,2020-05-23 05:16:30,29.03,21.55,68.88,61,0,11.34
167,Bonavista,CA,2020-05-23 05:16:45,48.65,-53.11,34.0,67,42,10.0
168,Kandy,LK,2020-05-23 05:18:45,7.3,80.64,84.31,62,7,5.12
169,Guerrero Negro,MX,2020-05-23 05:17:34,27.98,-114.06,61.09,85,14,15.88
170,Chalons-En-Champagne,FR,2020-05-23 05:18:45,48.95,4.37,57.2,93,100,6.22
171,Banda Aceh,ID,2020-05-23 05:17:44,5.56,95.32,85.73,68,99,10.74
172,Paka,MY,2020-05-23 05:18:45,4.64,103.44,89.6,70,40,6.93
173,Riyadh,SA,2020-05-23 05:14:17,24.69,46.72,80.6,22,0,3.36
174,Teguise,ES,2020-05-23 05:18:46,29.06,-13.56,68.0,82,20,21.92
175,Lakes Entrance,AU,2020-05-23 05:18:46,-37.88,147.98,57.0,69,100,3.0
176,Flinders,AU,2020-05-23 05:16:46,-34.58,150.86,61.0,69,100,5.01
177,Aktash,RU,2020-05-23 05:18:46,50.3,87.73,51.04,56,87,1.99
178,Astana,KZ,2020-05-23 05:17:46,51.18,71.45,73.99,37,5,4.47
179,Yantal,RU,2020-05-23 05:18:46,56.85,105.25,76.51,25,0,5.64
180,Dikson,RU,2020-05-23 05:16:45,73.51,80.55,38.77,100,99,16.15
181,Fairbanks,US,2020-05-23 05:14:17,64.84,-147.72,60.8,39,90,14.99
182,Adrar,MR,2020-05-23 05:18:46,20.5,-10.07,85.01,13,0,9.17
183,Galle,LK,2020-05-23 05:18:47,6.04,80.22,85.64,76,64,12.17
184,Vanavara,RU,2020-05-23 05:18:47,60.34,102.28,81.64,25,2,2.71
185,San Jose,US,2020-05-23 05:14:44,37.34,-121.89,61.0,62,20,5.82
186,Grand Gaube,MU,2020-05-23 05:18:47,-20.01,57.66,77.0,64,2,11.99
187,Shaunavon,CA,2020-05-23 05:18:47,49.65,-108.42,48.11,65,64,3.87
188,Codrington,AU,2020-05-23 05:17:16,-38.27,141.97,54.16,84,99,17.94
189,Cayenne,GF,2020-05-23 05:17:27,4.93,-52.33,77.0,100,75,10.58
190,Ambon,ID,2020-05-23 05:18:47,-3.7,128.18,89.6,66,40,3.36
191,Sorland,NO,2020-05-23 05:17:32,67.67,12.69,47.25,73,67,19.13
192,Ponta Do Sol,PT,2020-05-23 05:17:14,32.67,-17.1,66.0,78,89,7.58
193,Klyuchi,RU,2020-05-23 05:16:49,52.27,79.17,71.24,38,89,7.9
194,Namibe,AO,2020-05-23 05:17:37,-15.2,12.15,75.06,58,0,2.55
195,Satun,TH,2020-05-23 05:18:48,6.83,100.0,89.6,66,40,10.29
196,Kawalu,ID,2020-05-23 05:18:48,-7.38,108.21,91.27,48,16,1.59
197,Saint-Philippe,RE,2020-05-23 05:16:58,-21.36,55.77,77.0,61,49,19.46
198,Arlit,NE,2020-05-23 05:16:49,18.74,7.39,79.74,15,2,10.16
199,Yulara,AU,2020-05-23 05:17:25,-25.24,130.99,62.6,25,0,9.17
200,Sobolevo,RU,2020-05-23 05:16:53,54.43,31.9,40.03,93,100,8.68
201,Tuktoyaktuk,CA,2020-05-23 05:17:09,69.45,-133.04,31.03,98,9,10.4
202,Barranca,PE,2020-05-23 05:18:49,-10.75,-77.77,62.08,90,92,5.7
203,Iqaluit,CA,2020-05-23 05:16:37,63.75,-68.51,26.6,79,90,19.46
204,Nemuro,JP,2020-05-23 05:18:49,43.32,145.57,55.4,66,75,10.29
205,Moree,AU,2020-05-23 05:17:07,-29.47,149.85,53.6,54,90,15.64
206,Karratha,AU,2020-05-23 05:17:22,-20.74,116.85,78.1,34,0,25.93
207,Aykhal,RU,2020-05-23 05:16:27,66.0,111.5,73.4,28,100,2.24
208,Ostrovnoy,RU,2020-05-23 05:17:26,68.05,39.51,37.08,80,0,11.95
209,Teruel,ES,2020-05-23 05:18:49,40.67,-0.67,61.0,87,60,5.82
210,Shieli,KZ,2020-05-23 05:18:49,44.17,66.75,85.98,19,0,21.99
211,Lima,PE,2020-05-23 05:14:27,-12.04,-77.03,64.4,77,90,5.82
212,Winneba,GH,2020-05-23 05:18:50,5.35,-0.62,75.2,88,91,9.17
213,Grindavik,IS,2020-05-23 05:17:17,63.84,-22.43,42.8,81,92,11.41
214,Vao,NC,2020-05-23 05:17:17,-22.67,167.48,72.91,71,100,14.97
215,Avera,US,2020-05-23 05:17:33,33.19,-82.53,68.0,100,1,6.93
216,Haines Junction,CA,2020-05-23 05:17:38,60.75,-137.51,51.44,46,91,5.84
217,Katsuura,JP,2020-05-23 05:17:07,35.13,140.3,71.01,88,75,2.24
218,Bengkulu,ID,2020-05-23 05:17:29,-3.8,102.27,86.2,63,94,8.86
219,Killybegs,IE,2020-05-23 05:18:50,54.63,-8.45,48.0,82,96,11.99
220,Svetlyy,RU,2020-05-23 05:18:51,54.67,20.13,44.6,87,100,4.47
221,Berdigestyakh,RU,2020-05-23 05:18:51,62.1,126.7,61.02,32,11,7.96
222,Ilulissat,GL,2020-05-23 05:16:51,69.22,-51.1,48.2,36,21,21.92
223,Cozumel,MX,2020-05-23 05:18:51,20.51,-86.95,82.4,78,75,12.75
224,Saint-Pierre,RE,2020-05-23 05:16:31,-21.34,55.48,77.0,61,0,19.46
225,Dahanu,IN,2020-05-23 05:18:51,19.97,72.73,90.39,47,0,8.7
226,Olafsvik,IS,2020-05-23 05:17:14,64.89,-23.71,44.55,74,98,16.04
227,Doha,QA,2020-05-23 05:15:36,25.29,51.53,99.0,28,0,2.24
228,Barcelos,PT,2020-05-23 05:18:51,41.54,-8.62,61.0,93,20,4.7
229,Polovinnoye,RU,2020-05-23 05:18:51,54.79,65.99,57.6,95,100,5.39
230,Jiuquan,CN,2020-05-23 05:17:42,39.74,98.52,68.13,31,37,4.0
